name,business_id,state,city
"Abby Rappoport, LAC, CMQ",Pns2l4eNsfO8kk83dixA6A,CA,Santa Barbara
The UPS Store,mpf3x-BjTdTEA3yCZrAYPw,MO,Affton
Target,tUFrWirKiKi_TAnsVWINQQ,AZ,Tucson
St Honore Pastries,MTSW4McQd7CbVtyjqoe9mw,PA,Philadelphia
Perkiomen Valley Brewery,mWMc6_wTdE0EUBKIGXDVfA,PA,Green Lane
Sonic Drive-In,CF33F8-E6oudUQ46HnavjQ,TN,Ashland City
Famous Footwear,n_0UpQx1hsNbnPUSlodU8w,MO,Brentwood
Temple Beth-El,qkRM_2X51Yqxk3btlwAQIg,FL,St. Petersburg
Tsevi's Pub And Grill,k0hlBqXX-Bt0vf1op7Jr1w,MO,Affton
Sonic Drive-In,bBDDEgkFA1Otx9Lfe7BZUQ,TN,Nashville
Marshalls,UJsufbvfyfONHeWdvAHKjA,FL,Land O' Lakes
Denny's,il_Ro8jwPlHresjw9EGmBg,IN,Indianapolis
Adams Dental,jaxMSoInw8Poo3XeMJt8lQ,FL,Clearwater
Zio's Italian Market,0bPLkL0QhhPO5kt1_EXmNQ,FL,Largo
Tuna Bar,MUTTqe8uqyMdBl186RmNeA,PA,Philadelphia
Arizona Truck Outfitters,rBmpy_Y1UbBx8ggHlyb7hA,AZ,Tucson
Herb Import Co,M0XSSHqrASOnhgbWDJIpQA,LA,New Orleans
Nifty Car Rental,8wGISYjYkE2tSqn3cDMu8A,LA,Kenner
BAP,ROeacJQwBeh05Rqg7F6TCg,PA,Philadelphia
Roast Coffeehouse and Wine Bar,WKMJwqnfZKsAae75RMP6jA,AB,Edmonton
Barnes & Noble Booksellers,qhDdDeI3K4jy2KyzwFN53w,IN,Indianapolis
Hibachi Express,kfNv-JZpuN6TVNSO6hHdkw,IN,Indianapolis
Romano's Macaroni Grill,9OG5YkX1g2GReZM0AskizA,NV,Reno
Super Dog,4iRzR7OaS-QaSXuvYxEGKA,TN,Nashville
Indian Walk Veterinary Center,PSo_C1Sfa13JHjzVNW6ziQ,PA,Newtown
H&M,noByYNtDLQAra9ccqxdfDw,CA,Santa Barbara
The Green Pheasant,tMkwHmWFUEXrC9ZduonpTg,TN,Nashville
Bar One,QdN72BWoyFypdGJhhI5r7g,PA,Philadelphia
Domino's Pizza,sqSqqLy0sN8n2IZrAbzidQ,TN,White House
Altitude Trampoline Park - Boise,fvWn8oXXwbj2l79cochZyw,ID,Boise
DeSandro on Main,Mjboz24M9NlBeiOJKLEd_Q,PA,Philadelphia
DanceLine,8sshLb4UU7emeUDvtJWnpA,PA,Paoli
Ardmore Pizza,kV_Q1oqis8Qli8dUoGpTyQ,PA,Ardmore
River 127,w_AMNoI1iG9eay7ncmc67w,LA,New Orleans
Craft Hall,aPNXGTDkf-4bjhyMBQxqpQ,PA,Philadelphia
Cheeseburger In Paradise,2xVsWBNFwZOxIOdd9Mwnww,PA,Exton
T-Mobile,mGFsPRHdE6SMV1gYQ6GzgQ,DE,Wilmington
Edwardsville Children's Museum,LcAozWCMLGjwRbokaJAKMg,IL,Edwardsville
Diamond Hair Company,x1mhq4IpWctQOBM06dU8vg,IN,Indianapolis
Tony's Restaurant & 3rd Street Cafe,ljxNT9p0y7YMPx0fcNBGig,IL,Alton
Stomel Elliot Attorney-At-Law,lwItZ1Ck3KtpCgG4CPFmpQ,NJ,Cherry Hill
Bala Better Health,Kq51_lGAgAigqmENITTr-A,PA,Bala Cynwyd
Pier 1,mglME3E7esPSpIF5bias8w,PA,Springfield
China Dragon Restaurant,wghnIlMb_i5U46HMBGx9ig,AZ,Tucson
Naked Cyber Cafe & Espresso Bar,JX4tUpd09YFchLBuI43lGw,AB,Edmonton
Caviar & Bananas,lk9IwjZXqUMqqOhM774DtQ,TN,Nashville
All In Shipping,bCBPXIVfVzBZBEpFu29dcg,IL,Belleville
Core de Roma,ABxoFuzZy5mqQ8C5FJJajQ,PA,Bala Cynwyd
Gold's Gym,Hwt3_mOEmU-t--ywcemnMg,FL,St. Petersburg
Breadland Organic Whole Grain Bakery,5BmQX4UVJY19mMtafMg7JA,AB,Edmonton
Paws The Cat Cafe,cVBxfMC4lp3DnocjYA3FHQ,AB,Edmonton
Charlie's Market,0qNpTGTcqPwOLi2hADx4Xw,FL,Tampa
Fairfield Inn & Suites,xM6LoUcnpDpMBzXs_7dXAg,PA,Kennett Square
Smoothie King,txyXRytGjwOXvS8s4sc-WA,AZ,Tucson
LensCrafters,DQ7PyYlp2bX96WZa7TcaWQ,PA,Plymouth Meeting
Roman Forum,uI9XODGY_2_ieTE6xJ0myw,FL,Tampa
Joe's Pizza,JgpnXv_0XhV3SfbfB50nxw,FL,Tampa
Lafitte's Landing Seafood House,Si6LXSR9gvAbmgO5DzV2cw,LA,Harvey
Twin Peaks,seKihQKpGGnCeLuELRQPSQ,IN,Indianapolis
Village Tap Room,L_TT0BFmFwORAMaA83K54A,IN,Indianapolis
Educational Outfitters,mjWvAkNqoA6Y5P03sDSzfA,FL,Tampa
Doc Magrogan's Oyster House - West Chester,qfWJmJ0g96eM_fWma3ja0g,PA,West Chester
New Orleans Spirit Tours,uczmbBk5O3tYhGue13dCDg,LA,New Orleans
Big Boyz Toyz Motorcycle Rentals,eYxGFkxo6m3SYGVTh5m2nQ,AZ,Tucson
Sweet Things Chocolates,lOP3HxdUTaq0eXhwR_KC-w,IN,Indianapolis
Publix Super Market,KWA2qtdwVEkMpd5soSKaGA,FL,Hudson
Mr. Margarita,gbN4RuUiiBxQ2GBFQ2p3Cw,NV,Fernley
Pottery Barn Kids,B2qqjCl_BNNnXvWWfpFiLA,TN,Nashville
Sharky's Sports Bar & Grill,8rb-3VYXE37IZix4yOdskw,NJ,Williamstown
Holly Nails & Spa,9Rww8yE6Dm4dSMEq09nwXg,FL,Pinellas Park
39 North Taproom & Grill,aCDY7vXYMs54EbYuQScsnQ,PA,Glenolden
Pathmark,-4dYswJy7SPcbcERvitmIg,PA,Philadelphia
River City Games,mFTaYsRDyeFaY2NDLfSaAA,AB,Edmonton
Gavi Italian Restaurant,x9K0RfZaT_zlw6DklBDzjw,AZ,Tucson
Top Shelf Sports Lounge,pJfh3Ct8iL58NZa8ta-a5w,FL,Wesley Chapel
Fishers Freedom Festival,cvP_vh_bOLbCY3eoY1Xw-A,IN,Fishers
Bier Brewery and Tap Room,7clCBgNbd-x2Wj96lZ6Mjw,IN,Indianapolis
Wawa,ppFCk9aQkM338Rgwpl2F5A,PA,Philadelphia
Super Sushi Kyo Hin,NZ_bFJma7brQUfln5h1UAg,NJ,Burlington
AM&PM Locksmith,eMjnw_7wp-CscyNh6Lu0ZA,PA,Philadelphia
Helena Avenue Bakery,IDtLPgUrqorrpqSLdfMhZQ,CA,Santa Barbara
K-9 Groom Room,sE6jSnvMts_MAn-b4OkMAw,IL,Troy
Copper Vine,YNjyv0gfOr2g8lbmUpTnKg,LA,New Orleans
Fresh Fruits & Salads,LhpPSrulqVeTyJeK2xydvQ,NJ,Camden
Mike's Ice Cream,oaboaRBUgGjbo2kfUIKDLQ,TN,Nashville
Gilley's Antique Mall,-ZXYcCyDjj1QimnJyGtYtg,IN,Plainfield
Iron Horse Auto Body,nUqrF-h9S7myCcvNDecOvw,CA,Santa Barbara
James Dant,vR9_bhoszcpXbB_APv6Xlw,IN,Indianapolis
Absolutely Perfect Inc,ZM46RDLXaFNo_z6t-j_L4w,PA,Bensalem
TKO DJs,pEm4xNCk8d0TF6A1gi-WDQ,MO,Maplewood
Riverview Room,J_ksUDPpzPwfTGtI4zTRnQ,LA,New Orleans
Silver and Blue Outfitters,knQ4vIgx-r85kjlWVVjcpQ,NV,Reno
Premier Mortgage Resources,U2Tzy6J9aAAg9pzXsgdkvg,ID,Meridian
Ricardo's Italian Cafe,1MeIwdbTnZOBFCKOrgaxuw,MO,Saint Louis
Cornerstone Physical Therapy Associates,8KMIT0NXu30Jz5Ojo5uxaw,PA,Bensalem
Saks Fifth Avenue,jiLGdnf42eYftkqfU2ze1w,IN,Indianapolis
Crafty Crab,EuRGgOwJ0g1vTj2R04j37Q,IL,Fairview Heights
Mahony's Po-Boys & Seafood,TLZ3-eDPLhUzfsWO4ad6Ug,LA,New Orleans
Taqueria Los Primos,Dy91wdWkwtI_qgjAIZ0Niw,DE,Wilmington
AIM Mail Center,2Bi3ef7c0CrLxHD_-yy_tw,AZ,Oro Valley
The Pearl,vje0KIiE7vtpx7JzmBx5LQ,FL,Treasure Island
Mighty Dustless,2n9HHBxG7yAyAUwXXa49aw,PA,Southampton
Swat Pest Control,kK2i5Xyd9SOpF5pCFilbcg,PA,Chalfont
Its Sold Here,I6DCYks9lqZeoZiVzW7PmA,PA,Willow Grove
Sunset 44 Bistro,VrGxoSNZfSiT-G4OqRRGIw,MO,Saint Louis
America's Best Contacts & Eyeglasses,H0NEOp4e3Zu598u6kO3y0g,NJ,Voorhees
Budweiser Brewery Experience,sB45WFgysT617bKWP_WJwA,MO,Saint Louis
Jamba Juice,Fk1xpM7fjqEJ4paqk5ZFSg,ID,Boise
Walmart Supercenter,4dVrWc4Nhuw9apfk9BWEcA,FL,Tarpon Springs
Walmart Vision & Glasses,xfmkEGiIERBaBMLhw-dTCg,PA,Philadelphia
Mirror Lake Community Library,NTf_U8kYu9PAE2cZGJqtJg,FL,St. Petersburg
Giant Food Store,kk_oEw1j3xQ-cJaAII8A0Q,PA,Blue Bell
Monogram Express,RXpADfOCZBGi82-CGxYdsw,LA,Metairie
Nashville Delivers,qFX8IdomeBVhDPCSyz2aRg,TN,Brentwood
Desert Design Center,luGY5CJlb4CJ3LrBcSXMPA,AZ,Tucson
Subway,VZzivJEbmHItOxNXJB3SpA,TN,Brentwood
Pete's Barber Shop,iPSPcprSnkLOuL1Ns8UZZA,PA,Philadelphia
Cook's Glass & Mirror,Q3kQYhkYxSRyYyeBgtk--A,IN,Indianapolis
Leslie's,wEfK2HIYNzkA1QYfUjHBaw,AZ,Tucson
Papa Murphy's,anLQj9AM8vjbcLSIE0iUgg,AZ,Tucson
Sears Auto Center,BVo_36t3z7vfXp3XGgJkOg,LA,Metairie
Laser Spine Institute,P8brGDYVWjeW9GrKixH0yQ,FL,Tampa
Nipper's Pub,Cdytv_YhJO0W0Ab8t2xLtg,NJ,Woodbury
Golden Chopstick Chinese Restaurant,3BJxm-HnvzdwD1zjmSbmyQ,PA,Philadelphia
Altamura,FRYkg_JvsWU9xIXZsEZcVA,LA,New Orleans
Home Plate Sports Pub,9C2rpb56aQvW0ViZHK9sPw,AZ,Tucson
Cold Stone Creamery,k0yyD71s2F2eEKWRdkZ6jA,IN,Indianapolis
Walmart Supercenter,dM5OKNzk9AL2aiq-fV-SYg,IN,Brownsburg
Norristown Car Wash,qdYfHRsZdcz4Bun4f9Ijaw,PA,Norristown
Meineke Car Care Center,Y6t4pnKm5LF8y5ChHA27ow,FL,Land O Lakes
Pain Institute of Southern Arizona,E_kLUlU60fzoZYAOxbH_3w,AZ,Tucson
Advance Financial,txiXR1YfMyk-5S4ZzOVIhQ,TN,Nashville
Whole Foods Market,0vCsslN-TYnDeOSNT4rIfg,IN,Carmel
The Cake Drip,zFvqulgAYOpSG2t1v8AZ-w,FL,Tampa
Santa Barbara Shellfish Company,SZU9c8V2GuREDN5KgyHFJw,CA,Santa Barbara
"David Gower, Jr.  - Coldwell Banker Preferred",GWGXTKR0Fhdvzf_isDqJug,PA,Philadelphia
David Thomas Trailways,-aeZuatjCDMV1X4gCTz9Ug,PA,Philadelphia
Payless Liquors,PYW8Buz8S8LpjIe6mZTAcw,IN,Greenwood
ALM Kainan,Lx8ZYUJ_-3Aa8N821mN1WQ,NV,Sparks
Professional Healthcare of Pinellas,M_THnNDHs29aylcK-JqS1A,FL,Saint Petersburg
Yogurt Beach,uCQqtYW_xc1EJRm7NyakdA,NV,Reno
Banfield Pet Hospital,9LLxOjEhLNcdx8i4lL6EUQ,IN,Indianapolis
P's & Q's - Premium Quality,h-y5azB-VlQAT3m7Ff2g2Q,PA,Philadelphia
Michael Kors,XHTgtBSwLnwRHzKSbea2Fg,IN,Indianapolis
J Sushi,WYYdQDjx-DsCanlP0DpImQ,PA,Philadelphia
D's Toys,U2htB9qk4hOXCdkccvvW0Q,IN,Indianapolis
Chipotle Mexican Grill,aNtKyc2rr-uK5cqzY9TVQQ,FL,Largo
Nash Painting,yv6kSKxDdZTsvHL25K-U2g,TN,Nashville
Rathbone Mansions,hUQ9Z7kQeabvhPOAQOVV1A,LA,New Orleans
Boise Therapeutic Massage Center,t5tBd4p7BA7hNDitBUXxrw,ID,Boise
Giant Food Store,oCFcoyGx2VRZ8MHXEsV8tQ,PA,Brookhaven
TD Bank Havertown,FC6ef4rMMZKNov_-A9M6iQ,PA,Haverford
Cerveza Jack's,X_E7U2lVNEwbH_gpOBmAHQ,TN,Nashville
Carsmetics,EYA514FX4H8MwvFjv2ORQA,FL,Clearwater
Wendy's,G4lRmwDHdvhZAhmtlsYYBw,TN,Nashville
Stitchers' Dream,DTUfAthScapCGnOnnLUhPA,PA,Glenside
Lott's Service,DcUDIlxFsvqPvFh8_lb4Sw,NJ,Moorestown
Something Special,zs4d4DqSp5zh3HGFh-PiiQ,TN,Nashville
Bar-B-Cutie,BxhkoR6cscJwwex8gx31OA,TN,Madison
Total Access Urgent Care,2oxrOO3c9_mQmqM9kwEm9Q,MO,Saint Louis
Sal DeForte's Ristorante,Ms5xG8i4p80KSMcF3tt4ug,NJ,Ewing
Reno Bighorns,yswijv6wP2fKbMqAiEZ0vw,NV,Reno
CVS Pharmacy,m9ncuZp0nEVhIwu24G-HRw,IN,Indianapolis
805 Ink,QZU7TcrztBb3tXaPbVCkXg,CA,Santa Barbara
HMV Superstore,l6VYP8AxIoW6U52aDo8fXg,AB,Edmonton
Tuffy Tire & Auto Service Center,wMAxTyExktVtfyqKAfApbA,FL,Tampa
Selah,E-nhxuu3zbt02oCj_1AFng,AZ,Tucson
Inspired By Purpose Wellness Center & Yoga Studio,vvE3HVfxlx9UYctKPr0dbw,NV,Reno
Collision XS,JnbSkfsl_j2dUoHncBTonA,IL,Belleville
A-1 Expert Cleaning Services,5BYQP7i7ckUlgSzX4Yhnmw,PA,Levittown
Willard Park,xAAhPuZ8FG6OlvAw5m1BVQ,IN,Indianapolis
Reno Family Chiropractic,DfGNZQsCe9k2BxazCf0p6g,NV,Reno
Elegance African Hair Braiding,07JLsUInZr5OSiYH2XVi4g,PA,Philadelphia
Timber Creek Park,hPAmGKnDqummngSTOJN_8g,NJ,Gloucester Township
Gaylord Opryland Resort & Convention Center,ORL4JE6tz3rJxVqkdKfegA,TN,Nashville
Rita's Italian Ice,1GnJDrpp-jyDRCptavD9RQ,PA,Aston
Bay Area Appliance,jkY8aotwcAlSHCgoZrF49w,FL,Largo
Passport Health,YD_eZ4TaFrHYRrJVzOXHfw,MO,Saint Louis
Trust Me BBQ,P10BsKUeoeCeVoK4BS2u0w,FL,Riverview
Kinjo's Japanese Restaurant,7Du9oW73YcYFmXdtU5aiSg,FL,Saint Petersburg
Tim Hortons,h_qlv6CIXGVurFOhFQ945w,AB,Edmonton
PDQ Temple Terrace,QjV4v7q_pt7tt3K1US7IHg,FL,Tampa
Domino's Pizza,LGqiubTmpJ-A1L5n7dmc6g,LA,Harvey
Giant Food Stores,FTFtoylMzkrzqNVSl-bkKw,PA,Philadelphia
Roma Pizza & Italian Eatery,59jkCUm4yHciKL1KW_1HJA,PA,Warrington
Target,AzwiKZjVqHOxLaYtPAx8lA,PA,Wyncote
McDonald's,yM8LlTInbQH4FwWC97lz6w,MO,St. Louis
Cunningham Pest Control,tVdJ7CgBGAQ_nLomYXbB-Q,PA,Havertown
West Coast Roofing,x8KYhsxbufQiYIK-4MRzHQ,AZ,Tucson
The Handlebar Boise,3S9GYtMOYhbZl4MMPOHT0Q,ID,Boise
Seaview Condominiums,znL4YrNbA2uwOQ3CchkmEA,FL,Madeira Beach
Aussie Grill,CtMEJxpVMlNzFpB4PtFjfA,FL,Lutz
Wendy's,O1oZpbZNDMH_gz8DhsZCdA,PA,Philadelphia
China Pearl,vPcfJ3rm3NpdqVDod2WxLA,PA,Langhorne
1-Hour Auto Glass,HI4_NqeHMJOnMoVFNxaFyA,AZ,Tucson
Bagelicious - King Of Prussia,pmuuoDqNZp7518AUd-YmPA,PA,King of Prussia
Ottewell Animal Clinic,EDNYAyVc_WFhM3CD6QVD4A,AB,Edmonton
Blue Water Dental Care,tyJwgMRwo21wLUsga_RkQw,NV,Reno
ReAnimator Coffee,2dlQX5sP9X6Dlm1MmNOlSw,PA,Philadelphia
Bub's Cafe,IYlUaKC9nICjiWdk-ShPlg,IN,Carmel
Carpet One Floor & Home,hdRtVNk-G9Ep4eaHPKXmfA,AZ,Oro Valley
The Mad Griddle ,tSFXJ0GFl5iUdy021YgWLw,IN,Indianapolis
Beaver Hill Condominium,UoKkgWmE9-c3wbWwO4VAVQ,PA,Jenkintown
Quality Inn Nashville Downtown - Stadium,Nh1rc9aSeO-Y5lYmXVS6CA,TN,Nashville
MDG Salon Studio,r_8FZXRkGoc5QNbTOAIftA,IN,Indianapolis
530 Pub & Grill,ZU6NodDOWaabGkeNpOWdXw,FL,Clearwater
Option 1 Barber Shop,LVYAXWQB3t7tdwWteyjfhw,FL,Tampa
Wendy Warner- Medicine In Balance,mq5Z9X7yxgyApILQ11niNw,PA,Langhorne
Toys R Us,X0V_PdBTS_SwNxMY2795ZA,AZ,Tucson
Zakian Rug Cleaning,ONUZertKOOImiyQG66Z7Tg,PA,Philadelphia
Eddie's Southtown Donuts,ULReFPrCIDRbGKwP3ZsHwg,MO,Saint Louis
Enjoy The Mountain,25Uww0C0wvF9CZ_3B6vWtA,CA,Santa Barbara
Rite Aid,rCoWa-C7Os51GjFkCnFlVw,NJ,Voorhees
Tomo Japanese Steakhouse and Sushi Bar,Dtuf4vD0znzwJW9vk3iTNw,IN,Indianapolis
Zesty Tsunami,8c0r7olQSYGcws0bTd3ikw,FL,New Port Richey
O'Briens Irish Pub,Ucl9Vo5lwrUmYbV8Dv8X5g,FL,Tampa
Midwest RV Center,cSeA6pC9JUlGfz-RNfvnGw,MO,St. Louis
"Daniel Colombo , MD",WdrpkH-q7FQY5nclmPfoDQ,NV,Reno
Weddings in Santa Barbara,xF9r1XbMvEOsJeHlmFhIvw,CA,Santa Barbara
Mister B's Cigar Box,6BF3eaIzHtoNHSxKTFnTyg,IN,Avon
Oscar's Cafe,wjyUxHxkrvUvCOVqy4g_wg,MO,Normandy
Jim's Auto Detailing,do6EpBc7ZUoaqdzuUuGFXA,PA,Wayne
Eat Mah Taco @ Pal's Lounge,4IcB3QyMEA85UTWFKh9O9A,LA,New Orleans
Jaguar Nashville,_mf0QKI1Jlk8zRinr-56FA,TN,Brentwood
The Waxing Queen Of Tucson,h_3oLlQ_CFohwlzsrSZ6xQ,AZ,Tucson
Rosati's Pizza,Y6heWJJ9AmEL58fZwgi9YQ,AZ,Tucson
Red Hook Coffee & Tea,bTve2mwLk5Zc01vRKqc2KQ,PA,Philadelphia
Aldi,7FHjj04Wy2aqXl22NA_C0g,IN,Indianapolis
The UPS Store,TF6QZYUR5atqBEFnHP5bOw,NV,Reno
99 Cents Only Stores,WveinioyAZg3dtt0zHsyHA,AZ,Tucson
King of Jewelers,D9Xez9uOSM4DgSjSTywq7w,PA,Philadelphia
Frankie's Fruit Bar,6czqMScx8MRDirv7fxX7pw,NV,Reno
Thach Used Tires,bi3SICnYEuFC7Cihyqz8Nw,FL,Tampa
Lee Roy Selmon's,xbRbvXSAVZBEwaUUn3mzbg,FL,Tampa
Union on Fletcher,qb5pyP6XOS8K2uuC4eQHmQ,FL,Tampa
Jim's Appliance & Furniture,CWE-NfyMgi28ePUiansSdQ,ID,Boise
Chrysalis,uDQgmudYDKiB6n4vwbEeDg,TN,Franklin
The Libertine Liquor Bar,v5kwdvmg-J8g-ll0nkc3Sw,IN,Indianapolis
Ballistic Fabrication,8p9euqoMCbT4AIL_Fgqb0g,AZ,Tuscon
Shanghai Station,bqmX882_6AxVA_uHEQ70sQ,PA,Philadelphia
Nails & Beauty Lounge,my0bmPD5dgDFE1ia__LNlw,FL,Brandon
Mellow Mushroom,Edg22x3CZkIv0GUib2oEFA,LA,New Orleans
Four Green Fields,VVvUBlc_WIEb8obKGq39dA,FL,Tampa
Anytime Fitness,FR5xx5YEzxAnoMdqGl7vRQ,LA,New Orleans
Cafe Con Leche,py5aKmlTB2NarfsfcOpHOQ,FL,Tampa
CVS Pharmacy,jL_NufxqXi-BpW5uXKsPwQ,PA,Philadelphia
Express Cafe,wZhGuW7vQpfhxeEvLHkTrA,ID,Meridian
Rancho 777,vjLSYNGFkPu4Y5HKoJlzYg,NV,Reno
Western Endocrine Associates,pIUQz-zGw-Nu_Pu-qoTGuw,AZ,Tucson
Golf Galaxy,I3ZLcrGzj-QN5vFgaJFrAg,PA,Berwyn
City Fitness - Northern Liberties,Tm3QiAVLJAR2fEJK7APPPQ,PA,Philadelphia
Master Bait and Fishing Supplies,rJXa375PYt906DwptOOP3Q,FL,TAMPA
Boston Pizza,YR0nwxBOKk6DiLHNItfsBQ,AB,St Albert
Diagnostic Imaging Services,X4loIesbBkiTZLFstHv8Kw,LA,Metairie
Baltic Bakery,n8ecak12IF_jhnPNs37AZA,PA,Philadelphia
Style Lab For Men,jnyHs1ZXy9qIE2gORZBQMg,LA,New Orleans
1-275 Rest Area Manatee County Mile 7,xloFoRiYlH4IKGz3FhTDpA,FL,Terra Ceia
Indy Fuel,s_lHc_CrkzOTY3k4VNtN8w,IN,Indianapolis
The Cleaning Authority - Tucson,zzUxvYE-8Fj_dWqsPcagNg,AZ,Tucson
Fat Jakks,jcL_qaGJiappzpnn-ifSoA,AB,Edmonton
Restoration Hardware,rYOrSXy2I4BcxB7dhg29uA,TN,Nashville
Brown Sugar Bakery & Cafe,_T0cPZE2ZJOTTlYYKMP64Q,PA,Philadelphia
Sake House,dJfkfBbJz7wi0RgW-ph_Eg,FL,Tampa
Jon's Bar & Grille,VbItL6RDULtnw4YvB6EhVg,PA,Philadelphia
Villas at San Dorado,OIsLivxtTTqH7i1QISoUOQ,AZ,Oro Valley
Las Margaritas,W57cR9a7XP6RX56MSWHJJA,LA,New Orleans
Rippy's Central Pike Collision Repair,35dqrE4z9qWCtCn749oorg,TN,Hermitage
Center City Emergency Dentist,6bFx8j2KqPfmT0XEUS1RMg,PA,Philadelphia
Olivier's Creole Restaurant,x7_p5O3ChQa7shdHCcLHZQ,LA,New Orleans
Wissahickon Cyclery,G2Byuh4EVeSnqqWBWtD7rg,PA,Philadelphia
Parlor Suburban Square,JF7iyI3wA_AKi_iXOKi0Qw,PA,Ardmore
Kim Kelly & Co Clinical Skin Care,vSE6lkp5FBcttPxEbQ9XCw,PA,Doylestown
Camden Bay Apartments,iolaqx0v6g-fymksGWIU9A,FL,Tampa
Bulls Barbershop,G89OuZ3sIEfOR5cXeDqNaA,FL,Temple Terrace
Blue Wren Studio,gRHd5bRosRWQBckzPawf-w,IN,Indianapolis
Taqueria El Sitio,xa6JYHDgVza7CuenKBJBHw,TN,Hermitage
The Pepper Pott,1dSKEitDDgIkaApe6UNMSA,TN,Nashville
La Sponda,rZw9O5lJ36m_mXeRKE4G9A,PA,Downingtown
BurgerWorks,dCITjr2RMTmrX33_eFaMKA,AB,Sherwood Park
Blow Bar Express Styling Salon,CLEWowfkj-wKYJlQDqT1aw,FL,Tampa
S&K Salon,YG0OOMLP3MWYPKHpkA_mew,AZ,Tucson
The Cider Factory,Pr_Mlt9FqdcW7WCFGJmozA,NV,Virginia City
B2 Bluefin,-7GDqSUaXrpC8Ql7nDBxWA,PA,Bala Cynwyd
Aloft Philadelphia Airport,6I_DA3uqOox50rBvjrQ_-g,PA,Philadelphia
Renee Hair Salon,zn-WXkqHag5FSVc_LC9dEQ,PA,Havertown
Bob Kramerâ€™s Marionnettes,IYJOfQ6eFVHKCfJck59YIw,MO,Saint Louis
Federal Donuts,e8pMCk4bE0U4qk7z59Lxkg,PA,Philadelphia
Bear's Skin Art Studio,qps-oF95uqPoV7fiXn-dpg,AB,Edmonton
Accurate Window & Screen,Q2sKrIaEZsFN7VNjkibyfQ,FL,Tampa
Baum's Dancewear,IAj1Lw3FAOY-yZn4IO7ElQ,PA,Philadelphia
Belle Chic Salon,en_F2VgZPW1RCnWkPyCrhg,AZ,Oro Valley
Chinatown Market Shoe Repair And Tailor,aNLr1j_3CZ46rqiUeLaQ-A,PA,Philadelphia
Pho Friendly,tuyCmcmm5Q-bc-9zV76xKA,NJ,Trenton
Goin' Postal Westhaven,96qKAK06EdkG6GPVxKDdTw,TN,Franklin
Guess - Walnut Street,yZP6Z8sbDpkeXyjNMDiyDg,PA,Philadelphia
Bustleton Radiology Associates,kR4tXc1fLeR2QNu8cMZrEg,PA,Philadelphia
Fusion Pizza & Grill,V-96iACFgPmVjjKACGxd7Q,PA,Philadelphia
Misto Diner,p184f-Zvf4ToPwLba0VS4A,PA,Bensalem
Endless Summer Tans,WcSpc5mcfa7NUZ9GQgx0Tg,AZ,Tucson
Williams Sub Shop,zVlhs7BVaouutt-rles-YA,FL,Saint Petersburg
